id,title,category,category_code,published_date,updated_date,authors,first_author,summary,summary_word_count
abs-2402.06380v1,Optimal estimation of Gaussian (poly)trees,Machine Learning,cs.LG,2024-02-09,2/9/24,"['Yuhao Wang', 'Ming Gao', 'Wai Ming Tai', 'Bryon Aragam', 'Arnab Bhattacharyya']",'Yuhao Wang',"We develop optimal algorithms for learning undirected Gaussian trees and
directed Gaussian polytrees from data. We consider both problems of
distribution learning (i.e. in KL distance) and structure learning (i.e. exact
recovery). The first approach is based on the Chow-Liu algorithm, and learns an
optimal tree-structured distribution efficiently. The second approach is a
modification of the PC algorithm for polytrees that uses partial correlation as
a conditional independence tester for constraint-based structure learning. We
derive explicit finite-sample guarantees for both approaches, and show that
both approaches are optimal by deriving matching lower bounds. Additionally, we
conduct numerical experiments to compare the performance of various algorithms,
providing further insights and empirical evidence.",111
abs-2410.02176v1,"Towards Better Generalization: Weight Decay Induces Low-rank Bias for
  Neural Networks",Machine Learning,cs.LG,2024-10-03,10/3/24,"['Ke Chen', 'Chugang Yi', 'Haizhao Yang']",'Ke Chen',"We study the implicit bias towards low-rank weight matrices when training
neural networks (NN) with Weight Decay (WD). We prove that when a ReLU NN is
sufficiently trained with Stochastic Gradient Descent (SGD) and WD, its weight
matrix is approximately a rank-two matrix. Empirically, we demonstrate that WD
is a necessary condition for inducing this low-rank bias across both regression
and classification tasks. Our work differs from previous studies as our
theoretical analysis does not rely on common assumptions regarding the training
data distribution, optimality of weight matrices, or specific training
procedures. Furthermore, by leveraging the low-rank bias, we derive improved
generalization error bounds and provide numerical evidence showing that better
generalization can be achieved. Thus, our work offers both theoretical and
empirical insights into the strong generalization performance of SGD when
combined with WD.",135
abs-2408.16403v1,"DeepSPoC: A Deep Learning-Based PDE Solver Governed by Sequential
  Propagation of Chaos",Machine Learning,cs.LG,2024-08-29,8/29/24,"['Kai Du', 'Yongle Xie', 'Tao Zhou', 'Yuancheng Zhou']",'Kai Du',"Sequential propagation of chaos (SPoC) is a recently developed tool to solve
mean-field stochastic differential equations and their related nonlinear
Fokker-Planck equations. Based on the theory of SPoC, we present a new method
(deepSPoC) that combines the interacting particle system of SPoC and deep
learning. Under the framework of deepSPoC, two classes of frequently used deep
models include fully connected neural networks and normalizing flows are
considered. For high-dimensional problems, spatial adaptive method are designed
to further improve the accuracy and efficiency of deepSPoC. We analysis the
convergence of the framework of deepSPoC under some simplified conditions and
also provide a posterior error estimation for the algorithm. Finally, we test
our methods on a wide range of different types of mean-field equations.",122
abs-2201.12919v2,Provable Domain Generalization via Invariant-Feature Subspace Recovery,Machine Learning,cs.LG,2022-01-30,7/7/22,"['Haoxiang Wang', 'Haozhe Si', 'Bo Li', 'Han Zhao']",'Haoxiang Wang',"Domain generalization asks for models trained over a set of training
environments to perform well in unseen test environments. Recently, a series of
algorithms such as Invariant Risk Minimization (IRM) has been proposed for
domain generalization. However, Rosenfeld et al. (2021) shows that in a simple
linear data model, even if non-convexity issues are ignored, IRM and its
extensions cannot generalize to unseen environments with less than $d_s+1$
training environments, where $d_s$ is the dimension of the spurious-feature
subspace. In this paper, we propose to achieve domain generalization with
Invariant-feature Subspace Recovery (ISR). Our first algorithm, ISR-Mean, can
identify the subspace spanned by invariant features from the first-order
moments of the class-conditional distributions, and achieve provable domain
generalization with $d_s+1$ training environments under the data model of
Rosenfeld et al. (2021). Our second algorithm, ISR-Cov, further reduces the
required number of training environments to $O(1)$ using the information of
second-order moments. Notably, unlike IRM, our algorithms bypass non-convexity
issues and enjoy global convergence guarantees. Empirically, our ISRs can
obtain superior performance compared with IRM on synthetic benchmarks. In
addition, on three real-world image and text datasets, we show that both ISRs
can be used as simple yet effective post-processing methods to improve the
worst-case accuracy of (pre-)trained models against spurious correlations and
group shifts.",214
abs-2201.09881v1,Iterative Activation-based Structured Pruning,Machine Learning,cs.LG,2022-01-22,1/22/22,"['Kaiqi Zhao', 'Animesh Jain', 'Ming Zhao']",'Kaiqi Zhao',"Deploying complex deep learning models on edge devices is challenging because
they have substantial compute and memory resource requirements, whereas edge
devices' resource budget is limited. To solve this problem, extensive pruning
techniques have been proposed for compressing networks. Recent advances based
on the Lottery Ticket Hypothesis (LTH) show that iterative model pruning tends
to produce smaller and more accurate models. However, LTH research focuses on
unstructured pruning, which is hardware-inefficient and difficult to accelerate
on hardware platforms.
  In this paper, we investigate iterative pruning in the context of structured
pruning because structurally pruned models map well on commodity hardware. We
find that directly applying a structured weight-based pruning technique
iteratively, called iterative L1-norm based pruning (ILP), does not produce
accurate pruned models. To solve this problem, we propose two activation-based
pruning methods, Iterative Activation-based Pruning (IAP) and Adaptive
Iterative Activation-based Pruning (AIAP). We observe that, with only 1%
accuracy loss, IAP and AIAP achieve 7.75X and 15.88$X compression on LeNet-5,
and 1.25X and 1.71X compression on ResNet-50, whereas ILP achieves 4.77X and
1.13X, respectively.",175
abs-2104.14936v1,"Low-Rank Autoregressive Tensor Completion for Spatiotemporal Traffic
  Data Imputation",Machine Learning,cs.LG,2021-04-30,4/30/21,"['Xinyu Chen', 'Mengying Lei', 'Nicolas Saunier', 'Lijun Sun']",'Xinyu Chen',"Spatiotemporal traffic time series (e.g., traffic volume/speed) collected
from sensing systems are often incomplete with considerable corruption and
large amounts of missing values, preventing users from harnessing the full
power of the data. Missing data imputation has been a long-standing research
topic and critical application for real-world intelligent transportation
systems. A widely applied imputation method is low-rank matrix/tensor
completion; however, the low-rank assumption only preserves the global
structure while ignores the strong local consistency in spatiotemporal data. In
this paper, we propose a low-rank autoregressive tensor completion (LATC)
framework by introducing \textit{temporal variation} as a new regularization
term into the completion of a third-order (sensor $\times$ time of day $\times$
day) tensor. The third-order tensor structure allows us to better capture the
global consistency of traffic data, such as the inherent seasonality and
day-to-day similarity. To achieve local consistency, we design the temporal
variation by imposing an AR($p$) model for each time series with coefficients
as learnable parameters. Different from previous spatial and temporal
regularization schemes, the minimization of temporal variation can better
characterize temporal generative mechanisms beyond local smoothness, allowing
us to deal with more challenging scenarios such ""blackout"" missing. To solve
the optimization problem in LATC, we introduce an alternating minimization
scheme that estimates the low-rank tensor and autoregressive coefficients
iteratively. We conduct extensive numerical experiments on several real-world
traffic data sets, and our results demonstrate the effectiveness of LATC in
diverse missing scenarios.",236
abs-2312.10977v1,Predict and Interpret Health Risk using EHR through Typical Patients,Machine Learning,cs.LG,2023-12-18,12/18/23,"['Zhihao Yu', 'Chaohe Zhang', 'Yasha Wang', 'Wen Tang', 'Jiangtao Wang', 'Liantao Ma']",'Zhihao Yu',"Predicting health risks from electronic health records (EHR) is a topic of
recent interest. Deep learning models have achieved success by modeling
temporal and feature interaction. However, these methods learn insufficient
representations and lead to poor performance when it comes to patients with few
visits or sparse records. Inspired by the fact that doctors may compare the
patient with typical patients and make decisions from similar cases, we propose
a Progressive Prototypical Network (PPN) to select typical patients as
prototypes and utilize their information to enhance the representation of the
given patient. In particular, a progressive prototype memory and two prototype
separation losses are proposed to update prototypes. Besides, a novel
integration is introduced for better fusing information from patients and
prototypes. Experiments on three real-world datasets demonstrate that our model
brings improvement on all metrics. To make our results better understood by
physicians, we developed an application at http://ppn.ai-care.top. Our code is
released at https://github.com/yzhHoward/PPN.",156
abs-2104.05442v1,Out-of-distribution detection in satellite image classification,Machine Learning,cs.LG,2021-04-09,4/9/21,"['Jakob Gawlikowski', 'Sudipan Saha', 'Anna Kruspe', 'Xiao Xiang Zhu']",'Jakob Gawlikowski',"In satellite image analysis, distributional mismatch between the training and
test data may arise due to several reasons, including unseen classes in the
test data and differences in the geographic area. Deep learning based models
may behave in unexpected manner when subjected to test data that has such
distributional shifts from the training data, also called out-of-distribution
(OOD) examples. Predictive uncertainly analysis is an emerging research topic
which has not been explored much in context of satellite image analysis.
Towards this, we adopt a Dirichlet Prior Network based model to quantify
distributional uncertainty of deep learning models for remote sensing. The
approach seeks to maximize the representation gap between the in-domain and OOD
examples for a better identification of unknown examples at test time.
Experimental results on three exemplary test scenarios show the efficacy of the
model in satellite image analysis.",141
abs-2104.10853v2,"InstantNet: Automated Generation and Deployment of Instantaneously
  Switchable-Precision Networks",Machine Learning,cs.LG,2021-04-22,1/4/25,"['Yonggan Fu', 'Zhongzhi Yu', 'Yongan Zhang', 'Yifan Jiang', 'Chaojian Li', 'Yongyuan Liang', 'Mingchao Jiang', 'Zhangyang Wang', 'Yingyan Celine Lin']",'Yonggan Fu',"The promise of Deep Neural Network (DNN) powered Internet of Thing (IoT)
devices has motivated a tremendous demand for automated solutions to enable
fast development and deployment of efficient (1) DNNs equipped with
instantaneous accuracy-efficiency trade-off capability to accommodate the
time-varying resources at IoT devices and (2) dataflows to optimize DNNs'
execution efficiency on different devices. Therefore, we propose InstantNet to
automatically generate and deploy instantaneously switchable-precision networks
which operate at variable bit-widths. Extensive experiments show that the
proposed InstantNet consistently outperforms state-of-the-art designs.",84
abs-2302.12606v1,Retrospective Uncertainties for Deep Models using Vine Copulas,Machine Learning,cs.LG,2023-02-24,2/24/23,"['Nataša Tagasovska', 'Firat Ozdemir', 'Axel Brando']",'Nataša Tagasovska',"Despite the major progress of deep models as learning machines, uncertainty
estimation remains a major challenge. Existing solutions rely on modified loss
functions or architectural changes. We propose to compensate for the lack of
built-in uncertainty estimates by supplementing any network, retrospectively,
with a subsequent vine copula model, in an overall compound we call Vine-Copula
Neural Network (VCNN). Through synthetic and real-data experiments, we show
that VCNNs could be task (regression/classification) and architecture
(recurrent, fully connected) agnostic while providing reliable and
better-calibrated uncertainty estimates, comparable to state-of-the-art
built-in uncertainty solutions.",90
