id,title,category,category_code,published_date,updated_date,authors,first_author,summary,summary_word_count
abs-2310.07975v2,"Self-supervised visual learning for analyzing firearms trafficking
  activities on the Web",Computer Vision and Pattern Recognition,cs.CV,2023-10-12,2/6/24,"['Sotirios Konstantakos', 'Despina Ioanna Chalkiadaki', 'Ioannis Mademlis', 'Adamantia Anna Rebolledo Chrysochoou', 'Georgios Th. Papadopoulos']",'Sotirios Konstantakos',"Automated visual firearms classification from RGB images is an important
real-world task with applications in public space security, intelligence
gathering and law enforcement investigations. When applied to images massively
crawled from the World Wide Web (including social media and dark Web sites), it
can serve as an important component of systems that attempt to identify
criminal firearms trafficking networks, by analyzing Big Data from open-source
intelligence. Deep Neural Networks (DNN) are the state-of-the-art methodology
for achieving this, with Convolutional Neural Networks (CNN) being typically
employed. The common transfer learning approach consists of pretraining on a
large-scale, generic annotated dataset for whole-image classification, such as
ImageNet-1k, and then finetuning the DNN on a smaller, annotated,
task-specific, downstream dataset for visual firearms classification. Neither
Visual Transformer (ViT) neural architectures nor Self-Supervised Learning
(SSL) approaches have been so far evaluated on this critical task..",141
abs-2308.02716v2,"EndoDepthL: Lightweight Endoscopic Monocular Depth Estimation with
  CNN-Transformer",Computer Vision and Pattern Recognition,cs.CV,2023-08-04,8/16/23,['Yangke Li'],'Yangke Li',"In this study, we address the key challenges concerning the accuracy and
effectiveness of depth estimation for endoscopic imaging, with a particular
emphasis on real-time inference and the impact of light reflections. We propose
a novel lightweight solution named EndoDepthL that integrates Convolutional
Neural Networks (CNN) and Transformers to predict multi-scale depth maps. Our
approach includes optimizing the network architecture, incorporating
multi-scale dilated convolution, and a multi-channel attention mechanism. We
also introduce a statistical confidence boundary mask to minimize the impact of
reflective areas. To better evaluate the performance of monocular depth
estimation in endoscopic imaging, we propose a novel complexity evaluation
metric that considers network parameter size, floating-point operations, and
inference frames per second. We comprehensively evaluate our proposed method
and compare it with existing baseline solutions. The results demonstrate that
EndoDepthL ensures depth estimation accuracy with a lightweight structure.",141
abs-2303.16456v2,"Global Adaptation meets Local Generalization: Unsupervised Domain
  Adaptation for 3D Human Pose Estimation",Computer Vision and Pattern Recognition,cs.CV,2023-03-29,8/17/23,"['Wenhao Chai', 'Zhongyu Jiang', 'Jenq-Neng Hwang', 'Gaoang Wang']",'Wenhao Chai',"When applying a pre-trained 2D-to-3D human pose lifting model to a target
unseen dataset, large performance degradation is commonly encountered due to
domain shift issues. We observe that the degradation is caused by two factors:
1) the large distribution gap over global positions of poses between the source
and target datasets due to variant camera parameters and settings, and 2) the
deficient diversity of local structures of poses in training. To this end, we
combine \textbf{global adaptation} and \textbf{local generalization} in
\textit{PoseDA}, a simple yet effective framework of unsupervised domain
adaptation for 3D human pose estimation. Specifically, global adaptation aims
to align global positions of poses from the source domain to the target domain
with a proposed global position alignment (GPA) module. And local
generalization is designed to enhance the diversity of 2D-3D pose mapping with
a local pose augmentation (LPA) module. These modules bring significant
performance improvement without introducing additional learnable parameters. In
addition, we propose local pose augmentation (LPA) to enhance the diversity of
3D poses following an adversarial training scheme consisting of 1) a
augmentation generator that generates the parameters of pre-defined pose
transformations and 2) an anchor discriminator to ensure the reality and
quality of the augmented data. Our approach can be applicable to almost all
2D-3D lifting models. \textit{PoseDA} achieves 61.3 mm of MPJPE on MPI-INF-3DHP
under a cross-dataset evaluation setup, improving upon the previous
state-of-the-art method by 10.2\%.",234
abs-2306.12996v1,"Affine Correspondences between Multi-Camera Systems for Relative Pose
  Estimation",Computer Vision and Pattern Recognition,cs.CV,2023-06-22,6/22/23,"['Banglei Guan', 'Ji Zhao']",'Banglei Guan',"We present a novel method to compute the relative pose of multi-camera
systems using two affine correspondences (ACs). Existing solutions to the
multi-camera relative pose estimation are either restricted to special cases of
motion, have too high computational complexity, or require too many point
correspondences (PCs). Thus, these solvers impede an efficient or accurate
relative pose estimation when applying RANSAC as a robust estimator. This paper
shows that the 6DOF relative pose estimation problem using ACs permits a
feasible minimal solution, when exploiting the geometric constraints between
ACs and multi-camera systems using a special parameterization. We present a
problem formulation based on two ACs that encompass two common types of ACs
across two views, i.e., inter-camera and intra-camera. Moreover, the framework
for generating the minimal solvers can be extended to solve various relative
pose estimation problems, e.g., 5DOF relative pose estimation with known
rotation angle prior. Experiments on both virtual and real multi-camera systems
prove that the proposed solvers are more efficient than the state-of-the-art
algorithms, while resulting in a better relative pose accuracy. Source code is
available at https://github.com/jizhaox/relpose-mcs-depth.",180
abs-2305.05177v1,"Hybrid Transformer and CNN Attention Network for Stereo Image
  Super-resolution",Computer Vision and Pattern Recognition,cs.CV,2023-05-09,5/9/23,"['Ming Cheng', 'Haoyu Ma', 'Qiufang Ma', 'Xiaopeng Sun', 'Weiqi Li', 'Zhenyu Zhang', 'Xuhan Sheng', 'Shijie Zhao', 'Junlin Li', 'Li Zhang']",'Ming Cheng',"Multi-stage strategies are frequently employed in image restoration tasks.
While transformer-based methods have exhibited high efficiency in single-image
super-resolution tasks, they have not yet shown significant advantages over
CNN-based methods in stereo super-resolution tasks. This can be attributed to
two key factors: first, current single-image super-resolution transformers are
unable to leverage the complementary stereo information during the process;
second, the performance of transformers is typically reliant on sufficient
data, which is absent in common stereo-image super-resolution algorithms. To
address these issues, we propose a Hybrid Transformer and CNN Attention Network
(HTCAN), which utilizes a transformer-based network for single-image
enhancement and a CNN-based network for stereo information fusion. Furthermore,
we employ a multi-patch training strategy and larger window sizes to activate
more input pixels for super-resolution. We also revisit other advanced
techniques, such as data augmentation, data ensemble, and model ensemble to
reduce overfitting and data bias. Finally, our approach achieved a score of
23.90dB and emerged as the winner in Track 1 of the NTIRE 2023 Stereo Image
Super-Resolution Challenge.",170
abs-2304.01247v1,Generative Diffusion Prior for Unified Image Restoration and Enhancement,Computer Vision and Pattern Recognition,cs.CV,2023-04-03,4/3/23,"['Ben Fei', 'Zhaoyang Lyu', 'Liang Pan', 'Junzhe Zhang', 'Weidong Yang', 'Tianyue Luo', 'Bo Zhang', 'Bo Dai']",'Ben Fei',"Existing image restoration methods mostly leverage the posterior distribution
of natural images. However, they often assume known degradation and also
require supervised training, which restricts their adaptation to complex real
applications. In this work, we propose the Generative Diffusion Prior (GDP) to
effectively model the posterior distributions in an unsupervised sampling
manner. GDP utilizes a pre-train denoising diffusion generative model (DDPM)
for solving linear inverse, non-linear, or blind problems. Specifically, GDP
systematically explores a protocol of conditional guidance, which is verified
more practical than the commonly used guidance way. Furthermore, GDP is
strength at optimizing the parameters of degradation model during the denoising
process, achieving blind image restoration. Besides, we devise hierarchical
guidance and patch-based methods, enabling the GDP to generate images of
arbitrary resolutions. Experimentally, we demonstrate GDP's versatility on
several image datasets for linear problems, such as super-resolution,
deblurring, inpainting, and colorization, as well as non-linear and blind
issues, such as low-light enhancement and HDR image recovery. GDP outperforms
the current leading unsupervised methods on the diverse benchmarks in
reconstruction quality and perceptual quality. Moreover, GDP also generalizes
well for natural images or synthesized images with arbitrary sizes from various
tasks out of the distribution of the ImageNet training set.",202
abs-2301.04037v3,"ROBUSfT: Robust Real-Time Shape-from-Template, a C++ Library",Computer Vision and Pattern Recognition,cs.CV,2023-01-10,12/13/23,"['Mohammadreza Shetab-Bushehri', 'Miguel Aranda', 'Youcef Mezouar', 'Adrien Bartoli', 'Erol Ozgur']",'Mohammadreza Shetab-Bushehri',"Tracking the 3D shape of a deforming object using only monocular 2D vision is
a challenging problem. This is because one should (i) infer the 3D shape from a
2D image, which is a severely underconstrained problem, and (ii) implement the
whole solution pipeline in real-time. The pipeline typically requires feature
detection and matching, mismatch filtering, 3D shape inference and feature
tracking algorithms. We propose ROBUSfT, a conventional pipeline based on a
template containing the object's rest shape, texturemap and deformation law.
ROBUSfT is ready-to-use, wide-baseline, capable of handling large deformations,
fast up to 30 fps, free of training, and robust against partial occlusions and
discontinuity in video frames. It outperforms the state-of-the-art methods in
challenging datasets. ROBUSfT is implemented as a publicly available C++
library and we provide a tutorial on how to use it in
https://github.com/mrshetab/ROBUSfT",138
abs-2302.11705v1,"ACE: Zero-Shot Image to Image Translation via Pretrained
  Auto-Contrastive-Encoder",Computer Vision and Pattern Recognition,cs.CV,2023-02-22,2/22/23,"['Sihan Xu', 'Zelong Jiang', 'Ruisi Liu', 'Kaikai Yang', 'Zhijie Huang']",'Sihan Xu',"Image-to-image translation is a fundamental task in computer vision. It
transforms images from one domain to images in another domain so that they have
particular domain-specific characteristics. Most prior works train a generative
model to learn the mapping from a source domain to a target domain. However,
learning such mapping between domains is challenging because data from
different domains can be highly unbalanced in terms of both quality and
quantity. To address this problem, we propose a new approach to extract image
features by learning the similarities and differences of samples within the
same data distribution via a novel contrastive learning framework, which we
call Auto-Contrastive-Encoder (ACE). ACE learns the content code as the
similarity between samples with the same content information and different
style perturbations. The design of ACE enables us to achieve zero-shot
image-to-image translation with no training on image translation tasks for the
first time.
  Moreover, our learning method can learn the style features of images on
different domains effectively. Consequently, our model achieves competitive
results on multimodal image translation tasks with zero-shot learning as well.
Additionally, we demonstrate the potential of our method in transfer learning.
With fine-tuning, the quality of translated images improves in unseen domains.
Even though we use contrastive learning, all of our training can be performed
on a single GPU with the batch size of 8.",224
abs-2404.07605v1,"Contrastive-Based Deep Embeddings for Label Noise-Resilient
  Histopathology Image Classification",Computer Vision and Pattern Recognition,cs.CV,2024-04-11,4/11/24,"['Lucas Dedieu', 'Nicolas Nerrienet', 'Adrien Nivaggioli', 'Clara Simmat', 'Marceau Clavel', 'Arnaud Gauthier', 'Stéphane Sockeel', 'Rémy Peyret']",'Lucas Dedieu',"Recent advancements in deep learning have proven highly effective in medical
image classification, notably within histopathology. However, noisy labels
represent a critical challenge in histopathology image classification, where
accurate annotations are vital for training robust deep learning models.
Indeed, deep neural networks can easily overfit label noise, leading to severe
degradations in model performance. While numerous public pathology foundation
models have emerged recently, none have evaluated their resilience to label
noise. Through thorough empirical analyses across multiple datasets, we exhibit
the label noise resilience property of embeddings extracted from foundation
models trained in a self-supervised contrastive manner. We demonstrate that
training with such embeddings substantially enhances label noise robustness
when compared to non-contrastive-based ones as well as commonly used
noise-resilient methods. Our results unequivocally underline the superiority of
contrastive learning in effectively mitigating the label noise challenge. Code
is publicly available at
https://github.com/LucasDedieu/NoiseResilientHistopathology.",143
abs-2303.14977v1,A novel Multi to Single Module for small object detection,Computer Vision and Pattern Recognition,cs.CV,2023-03-27,3/27/23,['Xiaohui Guo'],'Xiaohui Guo',"Small object detection presents a significant challenge in computer vision
and object detection. The performance of small object detectors is often
compromised by a lack of pixels and less significant features. This issue stems
from information misalignment caused by variations in feature scale and
information loss during feature processing. In response to this challenge, this
paper proposes a novel the Multi to Single Module (M2S), which enhances a
specific layer through improving feature extraction and refining features.
Specifically, M2S includes the proposed Cross-scale Aggregation Module (CAM)
and explored Dual Relationship Module (DRM) to improve information extraction
capabilities and feature refinement effects. Moreover, this paper enhances the
accuracy of small object detection by utilizing M2S to generate an additional
detection head. The effectiveness of the proposed method is evaluated on two
datasets, VisDrone2021-DET and SeaDronesSeeV2. The experimental results
demonstrate its improved performance compared with existing methods. Compared
to the baseline model (YOLOv5s), M2S improves the accuracy by about 1.1\% on
the VisDrone2021-DET testing dataset and 15.68\% on the SeaDronesSeeV2
validation set.",170
